iso_code;year;drought;earthquakes;volcanic_activity;floods;storms;landslides;wildfires;extreme_temperatures;disasters
EGY;2010;316.5;38337.5;93254.2;14553.7;0;29.May;187.5;0;147384.7
EGY;2020;0;26,136,667;50,663,668;17,891,666;0;0;0;0;71,225,664
SLV;1950;0;0;0;0;0;0;0;0;2-Aug
SLV;1960;0;0;0;0;0;0;0;0;55.1
SLV;1970;0;0;0;6600;1500;0;0;0;8100
SLV;1980;0;0;0;0;0;0;0;0;1-Jan
SLV;1990;0;5770;0;11092;0;0;0;0;25720.6
SLV;2000;0;25;0;80;0;0;0;0;196.4
SLV;2010;0;0;0;350;3260;0;0;0;3631.3
SLV;2020;0;0;0;8,228,333;0;0;0;0;8,878,333
ERI;1950;0;0;0;0;0;0;0;0;0
ERI;1960;0;9058.2;0;0;460;0;0;0;14436
ERI;1970;0;0;0;0;0;0;0;0;0
ERI;1980;0;53000;0;8906;0;0;0;0;90956
ERI;1990;0;0;0;1495;8400;0;0;0;10095
ERI;2000;40000;159964.8;200;733.2;15054.1;0;0;0;218264.4
ERI;2010;108661;265.9;6307.9;30708.5;2974.7;0;0;0;149205.1
ERI;2020;0;0;0;100;53071;175;0;0;53346
EST;1950;0;0;0;0;0;0;0;0;0
EST;1960;0;0;0;0;0;0;0;0;0
EST;1970;0;0;0;0;0;0;0;0;0
EST;1980;0;0;0;0;0;0;0;0;0
EST;1990;390000;0;0;0;0;0;0;0;391567.5
EST;2000;170000;0;0;700;0;0;0;0;170701.3
EST;2010;0;0;0;0;0;0;0;0;0
EST;2020;0;0;0;0;0;0;0;0;0
SWZ;1950;0;0;0;0;0;0;0;0;0
SWZ;1960;0;0;0;0;0;0;0;0;0
